postcode,easting,northing,river_level,tide_level,rainfall_level
DA7 4EN,548021,175791,0.304677083,1.289,0.0
TN27 8DF,584956,136212,0.347229167,1.289,0.008333333
SO15 2TD,441312,113262,0.044114583,1.189,0.004166667
BN27 2HF,559215,109075,0.1488125,1.453,0.008333333
RH10 7BD,529740,137288,0.770395833,1.453,0.008333333
TN9 2AB,558818,145808,1.194522222,1.453,0.0
NW9 5BS,520395,190150,0.636010417,1.453,0.0
HA3 7SY,515790,189563,0.177635417,1.453,0.0
E17 7AQ,535967,188949,0.171541667,1.289,0.0
HA9 9NF,519430,186778,0.076614583,1.453,0.0
SO51 0QP,439595,127683,0.347166667,1.189,0.004166667
CM13 1TN,563102,195733,0.40121875,1.289,0.008333333
RG27 9DF,472578,154066,0.151854167,1.189,0.0
KT19 7LJ,519338,162608,0.209322917,1.453,0.0
TN34 3LA,582288,110300,0.203041667,1.453,0.0
TW14 0TW,510683,174936,0.06309375,1.453,0.0
RG20 5TF,452509,158989,0.0810625,1.189,0.0
TN39 3SS,571972,107290,0.05,1.453,0.008333333
CT3 4GD,619896,161810,0.22603125,1.36,0.008333333
GU32 1NX,467830,121854,0.131645833,1.189,0.004166667
RG22 6EP,462533,150969,1.0271875,1.189,0.0
PO20 8LA,480690,96315,0.25321875,1.189,0.0
GU31 5LF,478911,119490,0.113354167,1.189,0.0
SW19 1WZ,524334,170172,0.559625,1.453,0.0
RM14 3SX,564681,186167,0.466239583,1.289,0.008333333
E1 5BZ,534523,181834,5.802614583,1.453,0.008333333
GU14 0BH,486095,155095,0.773635417,1.189,0.0
ME9 9PR,594327,162761,0.162083333,1.289,0.0
PO4 0ER,465585,99433,0.532385417,1.189,0.0
GU14 8HU,486634,157402,0.980875,1.189,0.0
SE18 5SN,542939,178768,0.196427083,1.289,0.0125
PO2 9LZ,465272,103702,0.179208333,1.189,0.0
CR0 7LP,535055,165990,0.259770833,1.453,0.008333333
PO33 2UH,458881,91871,0.5180625,1.189,0.0
DA2 8DY,558727,170679,0.117114583,1.289,0.0
TW18 1PL,505678,170643,0.485197917,1.453,0.0
DA15 7DQ,546250,172205,0.304677083,1.289,0.0
ME19 4EA,567874,155180,1.667,1.289,0.004166667
RM11 1EZ,553671,187771,0.133041667,1.289,0.0
HP10 0QU,490675,187301,0.095229167,1.189,0.0
E2 0AJ,534551,182631,5.802614583,1.453,0.008333333
GU31 4BN,475176,123662,0.113354167,1.189,0.0
RH19 2NA,539017,140842,0.926635417,1.453,0.0
CR0 3NR,531151,166254,0.058260417,1.453,0.016666667
E2 8SF,534332,183537,5.802614583,1.453,0.0
SW19 4NW,523678,170402,0.789958333,1.453,0.0
SE9 2SF,543613,174312,0.196427083,1.453,0.0
SO16 6QG,440209,114629,0.044114583,1.189,0.004166667
N20 0JH,527013,193605,0.268125,1.453,0.0
DA14 4EQ,546810,171870,0.304677083,1.289,0.0
DA7 4DN,548606,175841,0.139979167,1.289,0.0
NW9 9NE,519913,188722,0.636010417,1.453,0.0
SE18 1AZ,545323,178243,2.946239583,1.289,0.0
N7 0HR,529842,185065,0.795927083,1.453,0.0
BN10 7HJ,540242,101180,-5.02471875,1.453,0.0
TN24 9RL,600900,145223,0.137166667,1.289,0.004166667
SN7 8LH,434328,193327,0.083302083,1.189,0.004166667
PO4 0QB,465219,98759,0.5180625,1.189,0.0
DA5 1QP,549033,173788,0.139979167,1.289,0.0
RM11 3QL,555198,187063,0.133041667,1.289,0.0
BR1 2AF,542408,169169,0.91425,1.453,0.0
E6 3PG,542852,182437,2.946239583,1.289,0.0125
IG2 7DY,544672,187799,2.946239583,1.289,0.0125
